date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:42	13571/13571	---M--	200	added ('OK')	image/png	etag:%225f95bfd4-3503%22	https://cdn.mypanel.link/30e6b5/b4tdaj4whh3bkwmb.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/b4tdaj4whh3bkwmb.png	(from https://sochillpanel.com/)
00:31:43	30537/30537	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:43%20GMT	https://sochillpanel.com/aboutus	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/aboutus.html	(from https://sochillpanel.com/)
00:31:44	33443/33443	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:44%20GMT	https://sochillpanel.com/blogs	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/blogs.html	(from https://sochillpanel.com/)
00:31:44	68628/68628	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:44%20GMT	https://sochillpanel.com/api	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/api.html	(from https://sochillpanel.com/)
00:31:44	33322/33322	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:44%20GMT	https://sochillpanel.com/privacypolicy	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/privacypolicy.html	(from https://sochillpanel.com/)
00:31:45	39322/39322	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:44%20GMT	https://sochillpanel.com/terms	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/terms.html	(from https://sochillpanel.com/)
00:31:46	59123/59123	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:45%20GMT	https://sochillpanel.com/faq	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/faq.html	(from https://sochillpanel.com/)
00:31:46	10334459/10334459	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:45%20GMT	https://sochillpanel.com/services	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/services.html	(from https://sochillpanel.com/)
00:31:47	32225/32225	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:46%20GMT	https://sochillpanel.com/signup	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/signup.html	(from https://sochillpanel.com/)
00:31:48	1188/1188	---M--	200	added ('OK')	image/png	etag:%225f4e1033-4a4%22	https://cdn.mypanel.link/30e6b5/cetc9dubfzcsr0ol.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/cetc9dubfzcsr0ol.png	(from https://sochillpanel.com/)
00:31:49	1186/1186	---M--	200	added ('OK')	image/png	etag:%225f4e1033-4a2%22	https://cdn.mypanel.link/30e6b5/4musuemmh0m91wn0.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/4musuemmh0m91wn0.png	(from https://sochillpanel.com/)
00:31:49	1587/1587	---M--	200	added ('OK')	image/png	etag:%225f4e1032-633%22	https://cdn.mypanel.link/30e6b5/937rm2fd6lbcw6m3.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/937rm2fd6lbcw6m3.png	(from https://sochillpanel.com/)
00:31:50	1587/1587	---M--	200	added ('OK')	image/png	etag:%225f4e31d8-633%22	https://cdn.mypanel.link/30e6b5/i022r0330or6ukhh.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/i022r0330or6ukhh.png	(from https://sochillpanel.com/)
00:31:51	1685/1685	---M--	200	added ('OK')	image/png	etag:%225f4e317f-695%22	https://cdn.mypanel.link/30e6b5/em377k8tzdfub3ys.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/em377k8tzdfub3ys.png	(from https://sochillpanel.com/)
00:31:51	1362/1362	---M--	200	added ('OK')	image/png	etag:%225f4e317f-552%22	https://cdn.mypanel.link/30e6b5/3y3xp5b8o67uhixp.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/3y3xp5b8o67uhixp.png	(from https://sochillpanel.com/)
00:31:51	30127/30127	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:51%20GMT	https://sochillpanel.com/resetpassword	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/resetpassword.html	(from https://sochillpanel.com/)
